inverterdatetime,Daily Power yields (kWh)
2023-07-12,621.1
2023-07-13,772.1
2023-07-14,972.8
2023-07-15,964.3
2023-07-16,643.0
2023-07-17,464.4
2023-07-18,834.4000000000001
2023-07-19,752.4000000000001
2023-07-20,904.3
2023-07-21,878.0
2023-07-22,928.7
2023-07-23,732.3000000000001
2023-07-24,917.3
2023-07-25,673.9000000000001
2023-07-26,763.4000000000001
2023-07-27,891.7
2023-07-28,889.6
2023-07-29,929.9
2023-07-30,954.8
2023-07-31,962.2
2023-08-01,916.2
2023-08-02,947.3
2023-08-03,943.0
2023-08-04,958.4
2023-08-05,943.3
2023-08-06,947.5
2023-08-07,954.6
2023-08-08,892.4000000000001
2023-08-09,810.3000000000001
2023-08-10,928.2
2023-08-11,939.9
2023-08-12,824.4
2023-08-13,726.4
2023-08-14,636.3
2023-08-15,667.9
2023-08-16,746.1
2023-08-17,920.7
2023-08-18,892.5
2023-08-19,508.3
2023-08-20,770.7
2023-08-21,1052.1
2023-08-22,1035.2
2023-08-23,935.8
2023-08-24,791.6
2023-08-25,995.7
2023-08-26,921.6
2023-08-27,921.6
2023-08-28,857.5
2023-08-29,566.6
2023-08-30,922.5
2023-08-31,805.2
2023-09-01,881.7
2023-09-02,800.3
2023-09-03,955.9
2023-09-04,929.8
2023-09-05,645.0
2023-09-06,1042.6
2023-09-07,1164.1
2023-09-08,921.6
2023-09-11,1180.0
2023-09-12,1204.8
2023-09-13,1126.4
2023-09-14,921.6
2023-09-15,1023.8
2023-09-16,1213.3
2023-09-17,1135.8
2023-09-18,674.1
2023-09-19,1069.3
2023-09-20,1031.2
2023-09-21,1032.3
2023-09-22,1048.3
2023-09-23,953.2
2023-09-24,1127.6
2023-09-25,1055.2
2023-09-26,1103.6
2023-09-27,798.1
2023-09-28,985.3
2023-09-29,1006.9
2023-09-30,1008.6
2023-10-01,629.1
2023-10-02,644.5
2023-10-03,1084.4
2023-10-04,654.5
2023-10-05,1115.8
2023-10-06,991.1
2023-10-07,752.8
2023-10-08,548.7
2023-10-09,598.0
2023-10-10,1293.7
2023-10-11,1281.7
2023-10-12,789.5
2023-10-13,508.1
2023-10-14,921.6
2023-10-15,1221.6
2023-10-16,1024.9
2023-10-17,548.8
2023-10-18,493.2
2023-10-19,955.6
2023-10-20,794.3
2023-10-21,1083.3
2023-10-22,983.1
2023-10-23,1024.9
2023-10-24,1005.6
2023-10-25,1005.6
2023-10-26,899.4
2023-10-27,735.3
2023-10-28,671.0
2023-10-29,775.9
2023-10-30,656.1
2023-10-31,632.8
2023-11-01,1036.8
2023-11-02,1087.8
2023-11-03,843.8
2023-11-04,1104.2
2023-11-05,1358.3
2023-11-06,1360.3
2023-11-07,1319.0
2023-11-08,1225.1
2023-11-09,849.0
2023-11-10,935.2
2023-11-11,1227.0
2023-11-12,878.2
2023-11-13,921.6
2023-11-14,921.6
